city,state_id,state_name,country
Merced,CA,California,United States
Hayward,CA,California,United States
Lafayette,IN,Indiana,United States
Springfield,IL,Illinois,United States
Corona,CA,California,United States
Paterson,NJ,New Jersey,United States
Alexandria,VA,Virginia,United States
Macon,GA,Georgia,United States
Binghamton,NY,New York,United States
Lakewood,CO,Colorado,United States
Kansas City,KS,Kansas,United States
Odessa,TX,Texas,United States
Sunnyvale,CA,California,United States
New Bedford,MA,Massachusetts,United States
Hollywood,FL,Florida,United States
South Lyon,MI,Michigan,United States
Escondido,CA,California,United States
Lake Charles,LA,Louisiana,United States
Pasadena,TX,Texas,United States
Bellevue,WA,Washington,United States
Joliet,IL,Illinois,United States
Champaign,IL,Illinois,United States
Pomona,CA,California,United States
Fairfield,CA,California,United States
Mesquite,TX,Texas,United States
Elkhart,IN,Indiana,United States
Naperville,IL,Illinois,United States
St. George,UT,Utah,United States
Roseville,CA,California,United States
Topeka,KS,Kansas,United States
Burlington,NC,North Carolina,United States
Warner Robins,GA,Georgia,United States
Surprise,AZ,Arizona,United States
Torrance,CA,California,United States
Santa Maria,CA,California,United States
Athens,GA,Georgia,United States
Houma,LA,Louisiana,United States
Columbia,MO,Missouri,United States
Fullerton,CA,California,United States
Olathe,KS,Kansas,United States
Thornton,CO,Colorado,United States
Greeley,CO,Colorado,United States
Beaumont,TX,Texas,United States
Las Cruces,NM,New Mexico,United States
Midland,TX,Texas,United States
Metairie,LA,Louisiana,United States
Carolina,PR,Puerto Rico,United States
West Valley City,UT,Utah,United States
Orange,CA,California,United States
Warren,MI,Michigan,United States
Grand Junction,CO,Colorado,United States
Tyler,TX,Texas,United States
Pasadena,CA,California,United States
Hampton,VA,Virginia,United States
Bloomington,IL,Illinois,United States
Elizabeth,NJ,New Jersey,United States
Stamford,CT,Connecticut,United States
Yuma,AZ,Arizona,United States
Kent,WA,Washington,United States
Miramar,FL,Florida,United States
Coeur d'Alene,ID,Idaho,United States
Coral Springs,FL,Florida,United States
Sterling Heights,MI,Michigan,United States
Yuba City,CA,California,United States
Yakima,WA,Washington,United States
Carrollton,TX,Texas,United States
Racine,WI,Wisconsin,United States
Johnson City,TN,Tennessee,United States
Billings,MT,Montana,United States
Iowa City,IA,Iowa,United States
Dover,DE,Delaware,United States
Bellingham,WA,Washington,United States
Charleston,WV,West Virginia,United States
Lynchburg,VA,Virginia,United States
Santa Clara,CA,California,United States
Norman,OK,Oklahoma,United States
Greenville,NC,North Carolina,United States
Simi Valley,CA,California,United States
Fort Smith,AR,Arkansas,United States
Abilene,TX,Texas,United States
Arecibo,PR,Puerto Rico,United States
Lewisville,TX,Texas,United States
Pearland,TX,Texas,United States
Lehigh Acres,FL,Florida,United States
Kenosha,WI,Wisconsin,United States
